L,sigma,W(0),W(pi),Delta=W(pi)-W(0),preferred
1.375,1,-1.7380559,-1.7246544,0.013401443,AA-like
1.375,1.0125,-1.8556287,-1.8439801,0.011648656,AA-like
1.375,1.025,-1.9780194,-1.968675,0.00934442,AA-like
1.375,1.0375,-2.1050895,-2.0986913,0.0063982404,AA-like
1.375,1.05,-2.2366468,-2.2339386,0.0027082146,AA-like
1.375,1.0625,-2.3724384,-2.3742785,-0.0018401638,AB-like
1.375,1.075,-2.5121427,-2.519518,-0.0073753057,AB-like
1.375,1.0875,-2.6553622,-2.6694031,-0.01404094,AB-like
1.375,1.1,-2.8016134,-2.8236111,-0.021997653,AB-like
1.375,1.1125,-2.9503181,-2.9817427,-0.031424552,AB-like
1.375,1.125,-3.1007922,-3.1433133,-0.042521075,AB-like
1.375,1.1375,-3.2522344,-3.3077434,-0.055508953,AB-like
1.375,1.15,-3.4037138,-3.4743482,-0.070634324,AB-like
1.375,1.1625,-3.5541564,-3.6423264,-0.088170029,AB-like
1.375,1.175,-3.7023303,-3.8107484,-0.10841808,AB-like
1.375,1.1875,-3.8468304,-3.9785427,-0.13171236,AB-like
1.375,1.2,-3.9860606,-4.144482,-0.15842145,AB-like
1.3975,0.7,-0.20795262,-0.20377235,0.0041802727,AA-like
1.3975,0.7125,-0.23096106,-0.22635682,0.0046042435,AA-like
1.3975,0.725,-0.25601187,-0.250955,0.0050568684,AA-like
1.3975,0.7375,-0.28323829,-0.2777002,0.0055380972,AA-like
1.3975,0.75,-0.31277813,-0.30673064,0.0060474865,AA-like
1.3975,0.7625,-0.3447734,-0.33818928,0.006584122,AA-like
1.3975,0.775,-0.37937006,-0.37222353,0.0071465305,AA-like
1.3975,0.7875,-0.41671761,-0.40898503,0.007732581,AA-like
1.3975,0.8,-0.45696858,-0.44862921,0.0083393716,AA-like
1.3975,0.8125,-0.500278,-0.4913149,0.0089631041,AA-like
1.3975,0.825,-0.54680275,-0.53720381,0.0095989414,AA-like
1.3975,0.8375,-0.59670074,-0.58645989,0.010240849,AA-like
1.3975,0.85,-0.65013007,-0.63924865,0.010881418,AA-like
1.3975,0.8625,-0.70724798,-0.69573631,0.011511666,AA-like
1.3975,0.875,-0.76820972,-0.7560889,0.012120816,AA-like
1.3975,0.8875,-0.83316721,-0.82047116,0.012696054,AA-like
1.3975,0.9,-0.90226756,-0.88904531,0.013222254,AA-like
1.3975,0.9125,-0.97565138,-0.96196971,0.013681678,AA-like
1.3975,0.925,-1.0534509,-1.0393973,0.014053643,AA-like
1.3975,0.9375,-1.135788,-1.1214738,0.014314154,AA-like
1.3975,0.95,-1.2227715,-1.208336,0.014435495,AA-like
1.3975,0.9625,-1.3144949,-1.3001091,0.014385789,AA-like
1.3975,0.975,-1.4110335,-1.396905,0.0141285,AA-like
1.3975,0.9875,-1.5124409,-1.498819,0.0136219,AA-like
1.3975,1,-1.6187457,-1.6059273,0.012818478,AA-like
1.3975,1.0125,-1.7299475,-1.7182833,0.011664289,AA-like
1.3975,1.025,-1.8460127,-1.8359144,0.010098252,AA-like
1.3975,1.0375,-1.9668694,-1.958818,0.0080513743,AA-like
1.3975,1.05,-2.0924029,-2.086957,0.0054459114,AA-like
1.3975,1.0625,-2.2224494,-2.220255,0.0021944458,AA-like
1.3975,1.075,-2.3567902,-2.3585913,-0.0018011115,AB-like
1.3975,1.0875,-2.4951447,-2.5017953,-0.0066506086,AB-like
1.3975,1.1,-2.6371631,-2.6496399,-0.012476835,AB-like
1.3975,1.1125,-2.7824183,-2.8018351,-0.019416802,AB-like
1.3975,1.125,-2.9303974,-2.9580206,-0.027623135,AB-like
1.3975,1.1375,-3.0804919,-3.1177574,-0.037265581,AB-like
1.3975,1.15,-3.2319874,-3.28052,-0.048532632,AB-like
1.3975,1.1625,-3.3840528,-3.4456861,-0.061633297,AB-like
1.3975,1.175,-3.5357279,-3.6125269,-0.076798998,AB-like
1.3975,1.1875,-3.6859102,-3.7801959,-0.094285628,AB-like
1.3975,1.2,-3.8333413,-3.947717,-0.11437577,AB-like
1.42,0.7,-0.19197418,-0.1885127,0.0034614851,AA-like
1.42,0.7125,-0.21324076,-0.20942567,0.0038150887,AA-like
1.42,0.725,-0.23640114,-0.2322079,0.0041932345,AA-like
1.42,0.7375,-0.2615802,-0.25698414,0.0045960604,AA-like
1.42,0.75,-0.2889073,-0.28388389,0.0050234103,AA-like
1.42,0.7625,-0.3185161,-0.31304132,0.0054747749,AA-like
1.42,0.775,-0.35054432,-0.34459509,0.0059492241,AA-like
1.42,0.7875,-0.38513343,-0.3786881,0.0064453307,AA-like
1.42,0.8,-0.42242829,-0.4154672,0.0069610842,AA-like
1.42,0.8125,-0.46257668,-0.45508288,0.007493794,AA-like
1.42,0.825,-0.50572881,-0.49768883,0.0080399798,AA-like
1.42,0.8375,-0.55203669,-0.54344144,0.0085952502,AA-like
1.42,0.85,-0.60165341,-0.59249925,0.0091541658,AA-like
1.42,0.8625,-0.65473235,-0.64502226,0.0097100868,AA-like
1.42,0.875,-0.7114262,-0.7011712,0.010255004,AA-like
1.42,0.8875,-0.77188593,-0.76110658,0.010779347,AA-like
1.42,0.9,-0.83625955,-0.82498777,0.011271782,AA-like
1.42,0.9125,-0.90469076,-0.89297179,0.011718972,AA-like
1.42,0.925,-0.97731742,-0.9652121,0.012105323,AA-like
1.42,0.9375,-1.0542698,-1.0418571,0.012412705,AA-like
1.42,0.95,-1.1356687,-1.1230485,0.012620135,AA-like
1.42,0.9625,-1.2216232,-1.2089197,0.012703433,AA-like
1.42,0.975,-1.3122284,-1.2995936,0.012634847,AA-like
1.42,0.9875,-1.4075628,-1.3951802,0.012382639,AA-like
1.42,1,-1.5076853,-1.4957747,0.011910627,AA-like
1.42,1.0125,-1.6126318,-1.6014541,0.011177686,AA-like
1.42,1.025,-1.7224122,-1.712275,0.010137209,AA-like
1.42,1.0375,-1.8370057,-1.8282692,0.0087365062,AA-like
1.42,1.05,-1.9563575,-1.9494413,0.0069161592,AA-like
1.42,1.0625,-2.080373,-2.0757637,0.0046093112,AA-like
1.42,1.075,-2.2089137,-2.2071728,0.0017408974,AA-like
1.42,1.0875,-2.3417908,-2.343564,-0.0017731929,AB-like
1.42,1.1,-2.4787597,-2.4847867,-0.006027027,AB-like
1.42,1.1125,-2.6195129,-2.6306385,-0.011125617,AB-like
1.42,1.125,-2.7636728,-2.7808588,-0.017185991,AB-like
1.42,1.1375,-2.9107841,-2.9351225,-0.024338353,AB-like
1.42,1.15,-3.0603051,-3.0930325,-0.032727342,AB-like
1.42,1.1625,-3.2115983,-3.2541116,-0.042513387,AB-like
1.42,1.175,-3.3639204,-3.4177945,-0.053874176,AB-like
1.42,1.1875,-3.5164116,-3.5834178,-0.06700624,AB-like
1.42,1.2,-3.6680839,-3.7502105,-0.082126661,AB-like
1.4425,0.7,-0.17744626,-0.17457874,0.002867521,AA-like
1.4425,0.7125,-0.19712479,-0.19396244,0.0031623576,AA-like
1.4425,0.725,-0.21856068,-0.21508254,0.0034781392,AA-like
1.4425,0.7375,-0.24187086,-0.23805574,0.0038151152,AA-like
1.4425,0.75,-0.26717667,-0.26300335,0.0041733154,AA-like
1.4425,0.7625,-0.29460375,-0.29005125,0.0045525044,AA-like
1.4425,0.775,-0.32428184,-0.31932971,0.0049521302,AA-like
1.4425,0.7875,-0.35634455,-0.35097328,0.0053712645,AA-like
1.4425,0.8,-0.39092906,-0.38512052,0.0058085376,AA-like
1.4425,0.8125,-0.42817582,-0.42191376,0.0062620627,AA-like
1.4425,0.825,-0.46822808,-0.46149873,0.0067293526,AA-like
1.4425,0.8375,-0.51123145,-0.50402422,0.0072072252,AA-like
1.4425,0.85,-0.5573333,-0.5496416,0.0076916989,AA-like
1.4425,0.8625,-0.60668211,-0.59850423,0.0081778744,AA-like
1.4425,0.875,-0.65942671,-0.65076691,0.0086598044,AA-like
1.4425,0.8875,-0.71571544,-0.70658509,0.0091303483,AA-like
1.4425,0.9,-0.77569511,-0.7661141,0.0095810102,AA-like
1.4425,0.9125,-0.83950994,-0.82950818,0.010001761,AA-like
1.4425,0.925,-0.90730027,-0.89691943,0.010380839,AA-like
1.4425,0.9375,-0.97920114,-0.9684966,0.010704533,AA-like
1.4425,0.95,-1.0553407,-1.0443838,0.010956941,AA-like
1.4425,0.9625,-1.1358386,-1.1247189,0.011119706,AA-like
1.4425,0.975,-1.2208038,-1.2096321,0.011171721,AA-like
1.4425,0.9875,-1.3103324,-1.2992436,0.011088812,AA-like
1.4425,1,-1.4045056,-1.3936622,0.010843388,AA-like
1.4425,1.0125,-1.5033864,-1.4929823,0.010404052,AA-like
1.4425,1.025,-1.6070172,-1.5972821,0.0097351842,AA-like
1.4425,1.0375,-1.7154166,-1.7066201,0.0087964815,AA-like
1.4425,1.05,-1.8285752,-1.8210327,0.007542456,AA-like
1.4425,1.0625,-1.9464525,-1.9405306,0.0059218888,AA-like
1.4425,1.075,-2.0689722,-2.0650949,0.003877235,AA-like
1.4425,1.0875,-2.1960175,-2.1946735,0.0013439764,AA-like
1.4425,1.1,-2.3274263,-2.3291764,-0.0017500812,AB-like
1.4425,1.1125,-2.4629855,-2.4684711,-0.0054855712,AB-like
1.4425,1.125,-2.602425,-2.6123774,-0.0099523939,AB-like
1.4425,1.1375,-2.7454109,-2.7606616,-0.015250613,AB-like
1.4425,1.15,-2.8915391,-2.9130305,-0.021491424,AB-like
1.4425,1.1625,-3.0403266,-3.0691248,-0.028798207,AB-like
1.4425,1.175,-3.1912038,-3.2285115,-0.037307657,AB-like
1.4425,1.1875,-3.3435056,-3.3906766,-0.047171008,AB-like
1.4425,1.2,-3.4964608,-3.5550162,-0.058555352,AB-like
1.465,0.7,-0.1642181,-0.16184156,0.0023765422,AA-like
1.465,0.7125,-0.1824472,-0.17982486,0.0026223387,AA-like
1.465,0.725,-0.20230829,-0.19942233,0.002885958,AA-like
1.465,0.7375,-0.22391083,-0.22074313,0.0031677087,AA-like
1.465,0.75,-0.2473686,-0.24390086,0.0034677359,AA-like
1.465,0.7625,-0.27279956,-0.26901358,0.0037859855,AA-like
1.465,0.775,-0.3003258,-0.29620364,0.0041221646,AA-like
1.465,0.7875,-0.33007331,-0.32559761,0.0044756965,AA-like
1.465,0.8,-0.36217175,-0.35732608,0.0048456689,AA-like
1.465,0.8125,-0.39675426,-0.39152348,0.0052307768,AA-like
1.465,0.825,-0.43395704,-0.42832778,0.0056292579,AA-like
1.465,0.8375,-0.47391904,-0.46788022,0.0060388194,AA-like
1.465,0.85,-0.51678146,-0.5103249,0.0064565574,AA-like
1.465,0.8625,-0.56268724,-0.55580838,0.0068788659,AA-like
1.465,0.875,-0.61178046,-0.60447913,0.0073013358,AA-like
1.465,0.8875,-0.66420561,-0.65648697,0.0077186426,AA-like
1.465,0.9,-0.72010679,-0.71198237,0.0081244217,AA-like
1.465,0.9125,-0.77962683,-0.7711157,0.0085111302,AA-like
1.465,0.925,-0.84290623,-0.83403634,0.008869894,AA-like
1.465,0.9375,-0.91008202,-0.90089168,0.0091903387,AA-like
1.465,0.95,-0.98128644,-0.97182603,0.0094604039,AA-like
1.465,0.9625,-1.0566455,-1.0469794,0.0096661377,AA-like
1.465,0.975,-1.1362774,-1.1264859,0.0097914713,AA-like
1.465,0.9875,-1.2202906,-1.2104726,0.0098179714,AA-like
1.465,1,-1.3087821,-1.2990575,0.009724569,AA-like
1.465,1.0125,-1.4018347,-1.3923475,0.0094872614,AA-like
1.465,1.025,-1.4995154,-1.4904366,0.0090787874,AA-like
1.465,1.0375,-1.6018718,-1.5934035,0.0084682715,AA-like
1.465,1.05,-1.7089298,-1.701309,0.0076208366,AA-like
1.465,1.0625,-1.8206902,-1.814193,0.0064971806,AA-like
1.465,1.075,-1.9371249,-1.9320718,0.0050531165,AA-like
1.465,1.0875,-2.0581734,-2.0549343,0.0032390714,AA-like
1.465,1.1,-2.1837383,-2.1827388,0.00099954279,AA-like
1.465,1.1125,-2.3136809,-2.3154084,-0.0017274922,AB-like
1.465,1.125,-2.4478159,-2.4528272,-0.0050112169,AB-like
1.465,1.1375,-2.5859063,-2.594835,-0.0089286694,AB-like
1.465,1.15,-2.7276571,-2.7412226,-0.013565492,AB-like
1.465,1.1625,-2.8727089,-2.8917257,-0.019016746,AB-like
1.465,1.175,-3.0206314,-3.0460192,-0.025387785,AB-like
1.465,1.1875,-3.1709152,-3.2037104,-0.032795205,AB-like
1.465,1.2,-3.3229638,-3.3643317,-0.041367863,AB-like
1.4875,0.7,-0.15215638,-0.15018583,0.0019705421,AA-like
1.4875,0.7125,-0.16906104,-0.1668856,0.00217544,AA-like
1.4875,0.725,-0.18748249,-0.18508702,0.0023954675,AA-like
1.4875,0.7375,-0.20752317,-0.20489221,0.0026309577,AA-like
1.4875,0.75,-0.22928969,-0.22640757,0.002882122,AA-like
1.4875,0.7625,-0.2528928,-0.24974378,0.0031490223,AA-like
1.4875,0.775,-0.27844725,-0.2750157,0.0034315409,AA-like
1.4875,0.7875,-0.3060717,-0.30234235,0.0037293449,AA-like
1.4875,0.8,-0.33588856,-0.33184671,0.0040418471,AA-like
1.4875,0.8125,-0.36802375,-0.36365559,0.0043681616,AA-like
1.4875,0.825,-0.40260651,-0.39789946,0.0047070533,AA-like
1.4875,0.8375,-0.43976901,-0.43471213,0.0050568824,AA-like
1.4875,0.85,-0.47964608,-0.47423054,0.005415541,AA-like
1.4875,0.8625,-0.52237472,-0.51659434,0.0057803833,AA-like
1.4875,0.875,-0.56809364,-0.56194549,0.0061481474,AA-like
1.4875,0.8875,-0.61694268,-0.61042781,0.0065148681,AA-like
1.4875,0.9,-0.66906215,-0.66218637,0.0068757807,AA-like
1.4875,0.9125,-0.72459213,-0.71736691,0.0072252136,AA-like
1.4875,0.925,-0.78367155,-0.77611508,0.0075564703,AA-like
1.4875,0.9375,-0.84643732,-0.83857562,0.0078616983,AA-like
1.4875,0.95,-0.91302321,-0.90489147,0.0081317451,AA-like
1.4875,0.9625,-0.98355866,-0.97520266,0.008355999,AA-like
1.4875,0.975,-1.0581675,-1.0496452,0.0085222147,AA-like
1.4875,0.9875,-1.1369662,-1.1283499,0.0086163213,AA-like
1.4875,1,-1.2200628,-1.2114406,0.0086222119,AA-like
1.4875,1.0125,-1.3075544,-1.2990329,0.0085215131,AA-like
1.4875,1.025,-1.3995255,-1.3912322,0.0082933328,AA-like
1.4875,1.0375,-1.4960458,-1.4881318,0.0079139848,AA-like
1.4875,1.05,-1.5971676,-1.5898109,0.0073566883,AA-like
1.4875,1.0625,-1.7029231,-1.6963319,0.0065912397,AA-like
1.4875,1.075,-1.8133217,-1.8077381,0.0055836561,AA-like
1.4875,1.0875,-1.9283464,-1.9240506,0.0042957872,AA-like
1.4875,1.1,-2.0479504,-2.0452655,0.0026848929,AA-like
1.4875,1.1125,-2.1720534,-2.1713502,0.00070318622,AA-like
1.4875,1.125,-2.3005374,-2.30224,-0.0017026639,AB-like
1.4875,1.1375,-2.4332417,-2.4378338,-0.00459207,AB-like
1.4875,1.15,-2.5699586,-2.5779897,-0.0080311088,AB-like
1.4875,1.1625,-2.7104274,-2.7225205,-0.012093151,AB-like
1.4875,1.175,-2.8543289,-2.8711884,-0.016859539,AB-like
1.4875,1.1875,-3.001279,-3.0236993,-0.022420327,AB-like
1.4875,1.2,-3.1508218,-3.1796968,-0.028875067,AB-like
1.51,0.7,-0.14114305,-0.13950837,0.0016346768,AA-like
1.51,0.7125,-0.15683611,-0.15503063,0.0018054812,AA-like
1.51,0.725,-0.17394004,-0.17195094,0.0019891033,AA-like
1.51,0.7375,-0.1925507,-0.19036482,0.0021858784,AA-like
1.51,0.75,-0.21276799,-0.21037194,0.0023960509,AA-like
1.51,0.7625,-0.2346958,-0.23207605,0.0026197535,AA-like
1.51,0.775,-0.25844197,-0.25558499,0.0028569833,AA-like
1.51,0.7875,-0.28411816,-0.28101059,0.0031075747,AA-like
1.51,0.8,-0.31183977,-0.3084686,0.0033711691,AA-like
1.51,0.8125,-0.34172578,-0.3380786,0.0036471804,AA-like
1.51,0.825,-0.37389852,-0.36996376,0.0039347562,AA-like
1.51,0.8375,-0.40848349,-0.40425076,0.0042327343,AA-like
1.51,0.85,-0.44560905,-0.44106945,0.0045395941,AA-like
1.51,0.8625,-0.48540605,-0.48055265,0.0048534021,AA-like
1.51,0.875,-0.52800749,-0.52283574,0.0051717516,AA-like
1.51,0.8875,-0.57354802,-0.56805633,0.0054916949,AA-like
1.51,0.9,-0.62216344,-0.61635377,0.0058096686,AA-like
1.51,0.9125,-0.67399006,-0.66786865,0.0061214107,AA-like
1.51,0.925,-0.72916404,-0.72274217,0.0064218685,AA-like
1.51,0.9375,-0.78782059,-0.7811155,0.0067050972,AA-like
1.51,0.95,-0.85009311,-0.84312896,0.006964148,AA-like
1.51,0.9625,-0.91611217,-0.90892122,0.0071909447,AA-like
1.51,0.975,-0.98600443,-0.97862828,0.0073761484,AA-like
1.51,0.9875,-1.0598914,-1.0523824,0.0075090078,AA-like
1.51,1,-1.1378881,-1.1303109,0.0075771967,AA-like
1.51,1.0125,-1.2201014,-1.2125347,0.0075666345,AA-like
1.51,1.025,-1.3066285,-1.2991672,0.0074612904,AA-like
1.51,1.0375,-1.3975551,-1.3903121,0.0072429696,AA-like
1.51,1.05,-1.4929531,-1.4860621,0.00689108,AA-like
1.51,1.0625,-1.5928787,-1.5864964,0.0063823771,AA-like
1.51,1.075,-1.6973696,-1.6916789,0.0056906873,AA-like
1.51,1.0875,-1.8064425,-1.8016559,0.0047866061,AA-like
1.51,1.1,-1.9200901,-1.9164529,0.0036371703,AA-like
1.51,1.1125,-2.0382778,-2.0360723,0.0022055027,AA-like
1.51,1.125,-2.1609403,-2.1604899,0.00045042613,AA-like
1.51,1.1375,-2.2879777,-2.2896517,-0.0016739546,AB-like
1.51,1.15,-2.4192514,-2.4234701,-0.0042187049,AB-like
1.51,1.1625,-2.5545794,-2.56182,-0.0072405496,AB-like
1.51,1.175,-2.6937317,-2.7045341,-0.010802402,AB-like
1.51,1.1875,-2.8364246,-2.8513985,-0.014973932,AB-like
1.51,1.2,-2.9823153,-3.0021475,-0.019832187,AB-like
1.5325,0.7,-0.13107343,-0.12971671,0.0013567113,AA-like
1.5325,0.7125,-0.14565686,-0.14415775,0.0014991035,AA-like
1.5325,0.725,-0.16155369,-0.15990136,0.0016523372,AA-like
1.5325,0.7375,-0.17885368,-0.17703694,0.0018167354,AA-like
1.5325,0.75,-0.19765042,-0.19565786,0.0019925536,AA-like
1.5325,0.7625,-0.21804136,-0.21586139,0.0021799637,AA-like
1.5325,0.775,-0.24012778,-0.23774874,0.0023790355,AA-like
1.5325,0.7875,-0.2640147,-0.26142499,0.002589716,AA-like
1.5325,0.8,-0.28981085,-0.28699904,0.0028118052,AA-like
1.5325,0.8125,-0.31762847,-0.31458354,0.0030449301,AA-like
1.5325,0.825,-0.34758327,-0.34429476,0.0032885142,AA-like
1.5325,0.8375,-0.37979416,-0.37625241,0.0035417439,AA-like
1.5325,0.85,-0.41438306,-0.41057953,0.0038035308,AA-like
1.5325,0.8625,-0.45147465,-0.44740218,0.0040724693,AA-like
1.5325,0.875,-0.49119601,-0.48684922,0.0043467897,AA-like
1.5325,0.8875,-0.53367631,-0.529052,0.0046243056,AA-like
1.5325,0.9,-0.5790463,-0.57414395,0.0049023562,AA-like
1.5325,0.9125,-0.62743791,-0.62226017,0.0051777413,AA-like
1.5325,0.925,-0.6789836,-0.67353695,0.0054466499,AA-like
1.5325,0.9375,-0.73381577,-0.72811119,0.0057045818,AA-like
1.5325,0.95,-0.79206603,-0.78611977,0.0059462599,AA-like
1.5325,0.9625,-0.85386437,-0.84769883,0.006165535,AA-like
1.5325,0.975,-0.91933823,-0.91298295,0.0063552797,AA-like
1.5325,0.9875,-0.98861152,-0.98210425,0.0065072728,AA-like
1.5325,1,-1.0618034,-1.0551914,0.0066120724,AA-like
1.5325,1.0125,-1.1390272,-1.1323684,0.0066588765,AA-like
1.5325,1.025,-1.2203888,-1.2137534,0.0066353704,AA-like
1.5325,1.0375,-1.3059851,-1.2994575,0.006527561,AA-like
1.5325,1.05,-1.3959025,-1.3895829,0.0063195941,AA-like
1.5325,1.0625,-1.4902147,-1.4842212,0.0059935571,AA-like
1.5325,1.075,-1.5889812,-1.5834519,0.0055292632,AA-like
1.5325,1.0875,-1.6922443,-1.6873402,0.0049040161,AA-like
1.5325,1.1,-1.8000271,-1.7959347,0.0040923557,AA-like
1.5325,1.1125,-1.9123307,-1.9092649,0.0030657811,AA-like
1.5325,1.125,-2.0291312,-2.0273388,0.0017924501,AA-like
1.5325,1.1375,-2.1503767,-2.1501398,0.00023685394,AA-like
1.5325,1.15,-2.2759833,-2.2776238,-0.0016405345,AB-like
1.5325,1.1625,-2.4058317,-2.4097153,-0.0038836418,AB-like
1.5325,1.175,-2.5397631,-2.5463043,-0.0065412053,AB-like
1.5325,1.1875,-2.6775746,-2.6872418,-0.0096672174,AB-like
1.5325,1.2,-2.8190142,-2.8323356,-0.013321405,AB-like
1.555,0.7,-0.12185454,-0.12072798,0.0011265605,AA-like
1.555,0.7125,-0.13542057,-0.13417529,0.0012452799,AA-like
1.555,0.725,-0.15021029,-0.14883713,0.0013731568,AA-like
1.555,0.7375,-0.16630773,-0.16479724,0.0015104937,AA-like
1.555,0.75,-0.1838006,-0.18214305,0.0016575428,AA-like
1.555,0.7625,-0.2027803,-0.20096581,0.0018144942,AA-like
1.555,0.775,-0.22334195,-0.22136049,0.0019814609,AA-like
1.555,0.7875,-0.24558428,-0.24342582,0.0021584631,AA-like
1.555,0.8,-0.26960965,-0.26726424,0.0023454096,AA-like
1.555,0.8125,-0.29552391,-0.29298183,0.0025420771,AA-like
1.555,0.825,-0.32343633,-0.32068825,0.0027480869,AA-like
1.555,0.8375,-0.35345946,-0.35049658,0.0029628788,AA-like
1.555,0.85,-0.38570892,-0.38252324,0.0031856813,AA-like
1.555,0.8625,-0.42030322,-0.41688774,0.0034154793,AA-like
1.555,0.875,-0.45736352,-0.45371255,0.0036509773,AA-like
1.555,0.8875,-0.4970133,-0.49312274,0.0038905585,AA-like
1.555,0.9,-0.53937802,-0.53524578,0.0041322395,AA-like
1.555,0.9125,-0.58458475,-0.58021113,0.0043736205,AA-like
1.555,0.925,-0.63276166,-0.62814983,0.0046118291,AA-like
1.555,0.9375,-0.68403753,-0.67919408,0.0048434594,AA-like
1.555,0.95,-0.73854116,-0.73347666,0.0050645038,AA-like
1.555,0.9625,-0.79640065,-0.79113037,0.0052702787,AA-like
1.555,0.975,-0.85774269,-0.85228735,0.005455342,AA-like
1.555,0.9875,-0.92269167,-0.91707826,0.0056134028,AA-like
1.555,1,-0.99136877,-0.98563155,0.0057372227,AA-like
1.555,1.0125,-1.0638909,-1.0580724,0.0058185071,AA-like
1.555,1.025,-1.1403694,-1.1345217,0.0058477864,AA-like
1.555,1.0375,-1.2209092,-1.2150949,0.0058142866,AA-like
1.555,1.05,-1.3056065,-1.2999007,0.005705787,AA-like
1.555,1.0625,-1.3945483,-1.3890398,0.0055084668,AA-like
1.555,1.075,-1.4878097,-1.482603,0.0052067357,AA-like
1.555,1.0875,-1.5854528,-1.5806697,0.0047830522,AA-like
1.555,1.1,-1.6875238,-1.683306,0.0042177237,AA-like
1.555,1.1125,-1.7940514,-1.7905627,0.0034886914,AA-like
1.555,1.125,-1.9050441,-1.9024728,0.0025712958,AA-like
1.555,1.1375,-2.0204875,-2.0190494,0.0014380231,AA-like
1.555,1.15,-2.140341,-2.1402828,5.8230794e-05,AA-like
1.555,1.1625,-2.2645353,-2.2661374,-0.0016021494,AB-like
1.555,1.175,-2.3929683,-2.3965492,-0.0035809326,AB-like
1.555,1.1875,-2.5255016,-2.5314217,-0.0059200266,AB-like
1.555,1.2,-2.6619565,-2.6706223,-0.0086658063,AB-like
1.5775,0.7,-0.11340372,-0.1124678,0.00093591056,AA-like
1.5775,0.7125,-0.12603584,-0.12500094,0.0010349079,AA-like
1.5775,0.725,-0.13980904,-0.13866741,0.0011416318,AA-like
1.5775,0.7375,-0.15480198,-0.15354562,0.0012563596,AA-like
1.5775,0.75,-0.17109687,-0.16971754,0.0013793318,AA-like
1.5775,0.7625,-0.18877947,-0.18726873,0.0015107421,AA-like
1.5775,0.775,-0.20793907,-0.20628834,0.0016507268,AA-like
1.5775,0.7875,-0.22866848,-0.22686913,0.0017993518,AA-like
1.5775,0.8,-0.25106405,-0.24910745,0.0019565985,AA-like
1.5775,0.8125,-0.27522552,-0.27310318,0.0021223475,AA-like
1.5775,0.825,-0.30125604,-0.29895968,0.0022963609,AA-like
1.5775,0.8375,-0.32926198,-0.32678372,0.0024782613,AA-like
1.5775,0.85,-0.35935286,-0.35668535,0.0026675092,AA-like
1.5775,0.8625,-0.39164117,-0.38877779,0.0028633777,AA-like
1.5775,0.875,-0.42624215,-0.42317723,0.0030649234,AA-like
1.5775,0.8875,-0.46327357,-0.46000262,0.0032709551,AA-like
1.5775,0.9,-0.50285546,-0.49937546,0.0034799984,AA-like
1.5775,0.9125,-0.54510975,-0.5414195,0.0036902563,AA-like
1.5775,0.925,-0.59015995,-0.58626038,0.0038995662,AA-like
1.5775,0.9375,-0.63813065,-0.6340253,0.0041053516,AA-like
1.5775,0.95,-0.6891471,-0.68484253,0.0043045697,AA-like
1.5775,0.9625,-0.74333459,-0.73884093,0.0044936527,AA-like
1.5775,0.975,-0.80081786,-0.79614941,0.0046684436,AA-like
1.5775,0.9875,-0.86172038,-0.85689626,0.0048241262,AA-like
1.5775,1,-0.92616359,-0.92120844,0.0049551476,AA-like
1.5775,1.0125,-0.99426597,-0.98921083,0.0050551332,AA-like
1.5775,1.025,-1.0661421,-1.0610253,0.0051167944,AA-like
1.5775,1.0375,-1.1419015,-1.1367697,0.0051318274,AA-like
1.5775,1.05,-1.2216477,-1.2165569,0.0050908021,AA-like
1.5775,1.0625,-1.3054765,-1.3004934,0.0049830418,AA-like
1.5775,1.075,-1.3934747,-1.3886782,0.0047964922,AA-like
1.5775,1.0875,-1.4857188,-1.4812013,0.0045175778,AA-like
1.5775,1.1,-1.5822728,-1.5781418,0.0041310474,AA-like
1.5775,1.1125,-1.6831864,-1.6795666,0.0036198048,AA-like
1.5775,1.125,-1.7884931,-1.7855284,0.0029647264,AA-like
1.5775,1.1375,-1.8982078,-1.8960633,0.0021444631,AA-like
1.5775,1.15,-2.0123241,-2.0111889,0.0011352254,AA-like
1.5775,1.1625,-2.1308121,-2.1309016,-8.9448237e-05,AB-like
1.5775,1.175,-2.253615,-2.2551739,-0.0015589421,AB-like
1.5775,1.1875,-2.380646,-2.3839518,-0.0033058338,AB-like
1.5775,1.2,-2.511785,-2.5171511,-0.0053661864,AB-like
1.6,0.7,-0.10564728,-0.10486937,0.00077790629,AA-like
1.6,0.7125,-0.11742122,-0.11656075,0.00086047355,AA-like
1.6,0.725,-0.13026006,-0.12931051,0.000949554,AA-like
1.6,0.7375,-0.1442375,-0.1431921,0.0010453982,AA-like
1.6,0.75,-0.1594306,-0.15828237,0.0011482296,AA-like
1.6,0.7625,-0.17591983,-0.17466159,0.001258237,AA-like
1.6,0.775,-0.19378903,-0.19241347,0.0013755659,AA-like
1.6,0.7875,-0.21312546,-0.21162515,0.0015003089,AA-like
1.6,0.8,-0.23401975,-0.23238725,0.0016324943,AA-like
1.6,0.8125,-0.25656588,-0.25479381,0.0017720737,AA-like
1.6,0.825,-0.28086113,-0.27894222,0.001918908,AA-like
1.6,0.8375,-0.30700601,-0.30493326,0.002072751,AA-like
1.6,0.85,-0.33510413,-0.3328709,0.0022332323,AA-like
1.6,0.8625,-0.36526211,-0.36286228,0.0023998367,AA-like
1.6,0.875,-0.39758942,-0.39501754,0.0025718822,AA-like
